id,store1id,store1name,store2name,store2name,address_distence,name_distance,avgdist
zz,ping market,st_053545,lao market,st_268310,0,4,2
1,columbus mkt,st_315006,columbus market,st_020506,0,3,1.5
2,shawns market,st_051352,ks market,st_059175,0,5,2.5
3,bj's market,st_399873,us market,st_063768,0,3,1.5
4,e t food shop,st_020622,f t food shop 221,st_179803,0,5,2.5
5,mother's grocery,st_270630,heiers grocery,st_158736,22,5,13.5
6,sunny supermarket,st_140376,ortiz supermarket,st_286736,0,5,2.5
7,cody-mystik,st_028814,cody mystik,st_308449,2,1,1.5
8,nikis market,st_241740,choice market,st_303152,11,5,8
9,quiktrip 968,st_233122,quicktrip 855,st_147452,36,4,20
10,gordy's market inc,st_331591,gordys market,st_103939,22,5,13.5
11,dollar general 2367,st_423408,dollar general 16114,st_384068,26,5,15.5
12,rite aid 5675,st_003322,rite aid 3030,st_132542,16,4,10
13,dollar tree 6491,st_409268,dollar tree 2814,st_045991,12,4,8
14,family dollar store 4194,st_196470,family dollar store 6049,st_012240,20,4,12
15,rite aid 5825,st_002138,rite aid 5824,st_002137,0,1,0.5
16,brit mini market 1,st_392020,brito mini market inc,st_305462,0,4,2
17,dollar general #0432,st_011093,dollar general 10174,st_015597,20,4,12
18,zip stop,st_322602,short stop,st_024716,30,5,17.5
19,circle k 2723302,st_312961,circle k 2723797,st_312966,0,3,1.5
20,evergreen grocery,st_133349,560 evergreen grocery,st_372696,0,4,2
21,discount food mart 5166,st_070943,discount food mart 5165,st_070938,1,1,1
22,7 eleven 35176h,st_295453,7 eleven 36018h,st_313285,0,4,2
23,cvs pharmacy 4730,st_240580,cvs pharmacy 4553,st_114370,0,3,1.5
24,dynofood mart,st_349864,food mart,st_416785,26,4,15
25,stoneham food market,st_016711,stoneham food market,st_208727,0,0,0
26,pike food mart,st_323972,kirit food mart,st_320691,30,4,17
27,raceway,st_192386,raceway 6887,st_335277,0,5,2.5
28,circle k 2721555,st_209388,circle k 2721569,st_209396,0,2,1
29,7-eleven 53321,st_028503,7-eleven 0627,st_115534,0,4,2
30,food lion 769,st_159141,food lion 2608,st_001804,22,3,12.5
31,l.f. deli grocery,st_283666,fotih deli grocery,st_126339,18,5,11.5
32,7-eleven 24450f,st_392107,7-eleven 24450f,st_021146,0,0,0
33,dollar general 9840,st_017527,dollar general 3986,st_147272,19,3,11
34,dollar general 0387,st_003780,dollar general 11311,st_184324,12,4,8
35,family market,st_192272,miles market,st_169831,25,4,14.5
36,van dyke grocery inc,st_065110,van dyke grocery,st_153095,0,4,2
37,dollar general 15427,st_348755,dollar general 2802,st_005641,0,4,2
38,center road market,st_078461,center food mart,st_048583,17,4,10.5
39,halal market 1,st_336253,halal market inc.,st_170136,0,4,2
40,7 eleven 36476a,st_313694,7-eleven 34031a,st_054820,19,5,12
41,circle k 2721259,st_156636,circle k 2722122,st_206938,8,3,5.5
42,family dollar store 1204,st_185264,family dollar store 4072,st_185276,0,4,2
43,grove market,st_305866,lans market,st_056782,29,5,17
44,hunter groceries,st_314042,hunters grocery,st_219556,0,4,2
45,7-eleven 34213,st_197530,7-eleven 32869,st_113056,0,4,2
46,huck's 366,st_025546,huck's 239,st_101142,0,3,1.5
47,walgreens 03091,st_143888,walgreens 09677,st_018567,20,4,12
48,dollar tree 2609,st_278654,dollar tree 2659,st_278658,24,1,12.5
49,walgreens 07305,st_015443,walgreens 04039,st_198379,24,4,14
50,south union meat market,st_041877,south union market,st_285473,0,5,2.5
51,y's hometown foods,st_384121,ys hometown foods,st_158900,0,1,0.5
52,dollar general 13662,st_295555,dollar general 7364,st_147281,19,3,11
53,walgreens 04650,st_094240,walgreens 9494,st_047264,14,4,9
54,tampa market,st_044685,jack's market,st_100756,22,5,13.5
55,family dollar store 1675,st_184904,family dollar store 6612,st_184905,0,3,1.5
56,dollar general 10010,st_015686,dollar general 17691,st_421050,22,4,13
57,discount food mart 5121,st_244671,discount food mart 5122,st_244672,18,1,9.5
58,jr supermarket,st_311234,j r supermarket llc,st_326794,0,5,2.5
59,dollar general 9127,st_147723,dollar general 2582,st_133083,25,4,14.5
60,quick pick food mart,st_030368,quik pick food mart,st_235295,0,1,0.5
61,manor market,st_124413,country market,st_288121,15,5,10
62,dollar general 0001,st_146039,dollar general 15262,st_342285,18,5,11.5
63,discount food mart,st_345432,discount food mart,st_058929,0,0,0
64,stan's liquor,st_016836,andy's liquor,st_103029,0,4,2
65,kountry mart,st_074824,country store,st_216913,34,5,19.5
66,rebel oil company 2161,st_210370,rebel oil company 2144,st_193410,0,2,1
67,winkler food mart,st_356345,winkler food mart,st_182055,0,0,0
68,gerrity's supermarket,st_026166,gerrity's supermarket,st_128765,22,0,11
