,store1id,store1name,store2name,store2name,address_distence,name_distance,
0,"468 deli & grill, inc.",st_368950,47 deli & grill inc,st_295104,7,4,
1,7 days food mart,st_083487,7 days food store,st_159761,28,4,
2,7 eleven 22963h,st_394581,7 eleven 23265d,st_025654,31,4,
3,7 eleven 32626,st_064491,7 eleven 32637b,st_333695,47,3,
4,7 eleven 33646 a,st_028260,7 eleven 33698,st_351630,33,4,
5,7 eleven 33752,st_137726,7 eleven 33773,st_203487,24,2,
6,7 eleven 35092h,st_308736,7 eleven 35114h,st_308738,29,3,
7,7 eleven 35341a,st_280239,7 eleven 35353a,st_280237,27,2,
8,7 eleven 35541a,st_321135,7 eleven 35715b,st_416199,30,4,
9,7 eleven 37750h,st_409805,7 eleven 39137,st_239718,23,5,
10,7 eleven store 11346,st_023940,7 eleven store 13794d,st_371370,27,4,
11,7 eleven store 35204a,st_411561,7 eleven store 35269a,st_291096,31,2,
12,7 eleven store 35710a,st_389740,7 eleven store 35895a,st_389741,9,3,
13,7 eleven store 35710a,st_389740,7 eleven store 36741a,st_408937,26,3,
14,7 eleven store 35895a,st_389741,7 eleven store 36741a,st_408937,26,4,
15,7-2-11 food store #1 1,st_161499,7-2-11 food store #2 2,st_161500,12,2,
16,7-eleven,st_291972,7-eleven,st_291970,6,0,
17,7-eleven # 32537b,st_101131,7-eleven # 32538a,st_101132,17,2,
18,7-eleven #32951a,st_221474,7-eleven #33138,st_191186,38,5,
19,7-eleven #33094a,st_208382,7-eleven #33337a,st_129516,28,3,
20,7-eleven #33138,st_191186,7-eleven #33232-a,st_139757,36,4,
21,7-eleven 024,st_165436,7-eleven 027,st_165437,18,1,
22,7-eleven 042,st_165442,7-eleven 043,st_165443,8,1,
23,7-eleven 042,st_165442,7-eleven 044,st_165444,8,1,
24,7-eleven 043,st_165443,7-eleven 044,st_165444,6,1,
25,7-eleven 046,st_165914,7-eleven 053,st_165922,29,2,
26,7-eleven 0815,st_115532,7-eleven 0816,st_115541,10,1,
27,7-eleven 0815,st_115532,7-eleven 097,st_098533,27,3,
