store1id,store1name,store2name,store2name_1,address_distence,name_distance,address1,address2,add_dist,dup
discount food mart,st_345432,discount food mart,st_058929,0,0,573 W Main St_NA_Senatobia_MS_38668,573 W Main St_NA_Senatobia_MS_38668,0,1
stoneham food market,st_208727,stoneham food market,st_016711,0,0,12161 Highway 105 E_NA_Plantersville_TX_77363,12161 Highway 105 E_NA_Plantersville_TX_77363,0,1
van dyke grocery,st_153095,van dyke grocery inc,st_065110,0,4,401 N 4th St_NA_Atchison_KS_66002,401 N 4th St_NA_Atchison_KS_66002,0,1
winkler food mart,st_356345,winkler food mart,st_182055,0,0,8353 Winkler Dr_NA_Houston_TX_77017,8353 Winkler Dr_NA_Houston_TX_77017,0,1
7-eleven 24450f,st_021146,7-eleven 24450f,st_392107,0,0,743 Main St_NA_Falmouth_MA_02540,743 Main St_NA_Falmouth_MA_2540,1,1
discount food mart 5165,st_070938,discount food mart 5166,st_070943,1,1,1808 Gault Ave S_NA_Fort Payne_AL_35967,1800 Gault Ave N_NA_Fort Payne_AL_35967,2,0
circle k 2721555,st_209388,circle k 2721569,st_209396,0,2,5550 Highway 90_NA_Theodore_AL_36582,5809 Highway 90_NA_Theodore_AL_36582,3,0
rite aid 5824,st_002137,rite aid 5825,st_002138,0,1,1207 E Grand Ave_NA_Arroyo Grande_CA_93420,1690 E Grand Ave_NA_Arroyo Grande_CA_93420,3,0
speedway 7984,st_262744,speedway 7985,st_262746,1,1,2401 S Cannon Blvd_NA_Kannapolis_NC_28083,2803 N Cannon Blvd_NA_Kannapolis_NC_28083,3,0
rebel oil company 2144,st_193410,rebel oil company 2161,st_210370,0,2,6060 W Tropicana Ave_NA_Las Vegas_NV_89103,3785 W Tropicana Ave_NA_Las Vegas_NV_89103,4,0
south union market,st_285473,south union meat market,st_041877,0,5,280 S Union St_NA_Lawrence_MA_1843,127 S Union St_NA_Lawrence_MA_01843,4,0
cedar food market #6,st_106540,cedar food market iii,st_095292,1,3,952 N Main St_NA_Pleasantville_NJ_08232,500 S Main St_NA_Pleasantville_NJ_8232,5,0
