Ext_Dist,urb_class,Non-LILA,LILA,total_pop,pct_lila
NE,Metro,936317,299373,1235690,24.2
NE,"Non-metro, population of <20K",344839,48503,393342,12.3
NE,"Non-metro, population of >20K",98690,14306,112996,12.7
NW,Metro,5008650,1261825,6270475,20.1
NW,"Non-metro, population of <20K",25082,32287,57369,56.3
NW,"Non-metro, population of >20K",124817,44212,169029,26.2
SE,Metro,489221,125005,614226,20.4
SE,"Non-metro, population of <20K",287469,117921,405390,29.1
SE,"Non-metro, population of >20K",144097,68252,212349,32.1
SW,Metro,374337,122846,497183,24.7
SW,"Non-metro, population of <20K",253421,97010,350431,27.7
SW,"Non-metro, population of >20K",56319,28852,85171,33.9
