store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020_Jan,Y2020,X,Y,method,match
st_000063,CITGO FOOD MART,A075928,400,W Pike St,NA,Lawrenceville,GA,30045,Convenience Store,3,Small retail,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-84.00001811,33.95801994,esri,PointAddress
st_000112,SNAP MINI MART,A303121,2221,SALEM ROAD,NA,CONYERS,GA,30013,Convenience Store,3,Small retail,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.97865633,33.63096593,esri,PointAddress
st_000147,INGLES MARKETS 450,A188289,9151,Highway 29 S,NA,Hull,GA,30646,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-83.31704,34.02924,usda,NA
st_000236,E-Z CORNER 22,A129289,504,W Franklin St,NA,Sylvester,GA,31791,Convenience Store,3,Small retail,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-83.84355109,31.53095788,esri,StreetAddress
st_000305,JOE'S GROCERY,A195127,12,Atlanta Ave SW,NA,Atlanta,GA,30315,Convenience Store,3,Small retail,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-84.38838705,33.73032925,esri,StreetAddress
st_000306,PIERRE'S FOOD STORE,A260710,2674,Austell Rd SW Ste F,NA,Marietta,GA,30008,Small Grocery Store,14,Grocer,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-84.5833278,33.88857567,esri,PointAddress
st_000317,Choose #1,A069095,113,Scrubby Bluff Rd,NA,Kingsland,GA,31548,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-81.68379647,30.78046036,esri,PointAddress
st_000414,RAINBOW FOODS LLC,A122333,4105,Buena Vista Rd,NA,Columbus,GA,31907,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-84.92489,32.4636,usda,NA
st_000435,M L K Market,A224123,1340,Martin Luther King Jr Dr,NA,Greensboro,GA,30642,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-83.17848,33.5667,usda,NA
st_000457,LISTON'S GROCERY,A218089,290,GA Highway 49,NA,Macon,GA,31211,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-83.54663,32.88092,usda,NA
st_000459,Rite Aid 11739,A279785,954,Joe Frank Harris Pkwy SE,NA,Cartersville,GA,30120,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-84.79295,34.19892,usda,NA
st_000485,WALGREEN'S 7199,A341125,701,Martha Berry Blvd NW,NA,Rome,GA,30165,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-85.18063,34.26089,usda,NA
st_000528,Rite Aid 11780,A279824,1232,Highway 74 S,NA,Peachtree City,GA,30269,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-84.53316,33.34213,usda,NA
st_000558,SEYMOUR FOOD STORE,A296597,102,W 3rd St # 84,NA,Donalsonville,GA,39845,Convenience Store,3,Small retail,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-84.882637,31.04052886,esri,StreetAddress
st_000565,R & R QUICK MART,A272045,1009,5th Ave SE,NA,Moultrie,GA,31768,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-83.77708,31.17434,usda,NA
st_000570,P & V Foodmart,A252473,1402,Stiles Ave,NA,Savannah,GA,31415,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-81.11674,32.06808,usda,NA
st_000579,Lay's Food Mart #2,A215428,4360,Atlanta Hwy,NA,Bogart,GA,30622,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-83.48647,33.94038,usda,NA
st_000625,Open Market,A251174,4591,Rockbridge Rd,Ste F,Stone Mountain,GA,30083,Convenience Store,3,Small retail,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-84.20618168,33.78626375,esri,StreetAddress
st_000629,The Market Basket,A326135,1020,S Elbert St,NA,Milledgeville,GA,31061,Seafood Specialty,13,Specialty,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-83.22007037,33.06889458,esri,PointAddress
st_000631,SHAWNEE CONVENIENCE STORE,A297343,123,Shawnee Rd,NA,Springfield,GA,31329,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-81.41115497,32.4756304,esri,NA
st_000678,PUBLIX 1089,A266784,5180,McGinnis Ferry Rd,NA,Alpharetta,GA,30005,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-84.2081,34.09307,usda,NA
st_000680,PUBLIX 1008,A266703,1114,HWY 96,NA,KATHLEEN,GA,31047,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-83.69488,32.54679,usda,NA
st_000725,SMITHFIELD SUPERMARKET,A302673,112,Stanton Dr N,NA,Smithville,GA,31787,Convenience Store,3,Small retail,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-84.25416832,31.90280653,esri,PointAddress
st_000728,QUICK FOOD MART,A268893,847,Main St,NA,Forest Park,GA,30297,Convenience Store,3,Small retail,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-84.3622295,33.62019347,esri,PointAddress
st_000739,Super H Mart,A317199,2550,Pleasant Hill Rd,NA,Duluth,GA,30096,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-84.14484,33.96856,usda,NA
st_000743,Chico Food Mart,A068554,902,Dill Ave SW,NA,Atlanta,GA,30310,Convenience Store,3,Small retail,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-84.41768275,33.71826549,esri,NA
st_000748,JACKY SEAFOOD MARKET,A191621,1015,US Highway 80 W,NA,Garden City,GA,31408,Seafood Specialty,13,Specialty,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-81.15755782,32.08797745,esri,PointAddress
st_000808,FOOD DEPOT 38,A156616,200,Banks Road,NA,Fayetteville,GA,30214,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-84.44151,33.46876,usda,NA
st_000812,CARNICERIA TAPATIA 2,A060918,1652,Atlanta Rd,NA,Gainesville,GA,30504,Large Grocery Store,8,Grocer,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-83.84124788,34.267025,esri,NA
st_000813,F&Y Dollar King,A139365,122,Cleveland Ave SW,Ste B,Atlanta,GA,30315,Convenience Store,3,Small retail,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-84.392793,33.68106048,esri,PointAddress
st_000867,FRANKLYN GROCERY & DELI,A160369,1029,McDaniel St SW,NA,Atlanta,GA,30310,Convenience Store,3,Small retail,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-84.40166705,33.72675325,esri,NA
st_000902,CITGO FOOD MART,A043072,619,W Central Ave,NA,Moultrie,GA,31768,Convenience Store,3,Small retail,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-83.7962325,31.17992251,esri,NA
st_000955,Rite Aid 11698,A120917,1455,Peachtree Pkwy,NA,Cumming,GA,30041,Combination Grocery/Other,2,Small retail,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-84.17079182,34.12460369,esri,NA
st_000959,Lakeland Quick Stop,A213596,121,S Valdosta Rd,NA,Lakeland,GA,31635,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,0,0,0,1,1,1,1,-83.0719,31.0316,usda,NA
st_000995,Mitchell's Bait & Tackle,A038665,902,W 16th Ave,NA,Cordele,GA,31015,Convenience Store,3,Small retail,4,1,1,1,1,1,0,0,0,0,0,1,0,0,0,-83.7944,31.96346,usda,NA
st_001004,KASH MARKET,A199214,1305,N Troupe St,NA,Valdosta,GA,31601,Convenience Store,3,Small retail,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-83.27533799,30.84676091,esri,PointAddress
st_001007,DOLLAR GENERAL 6757,A115426,319,W MAIN STREET,NA,ALAMO,GA,30411,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-82.78007,32.14505,usda,NA
st_001018,OLYMPIA FOOD MART,A055172,5003,Central Dr,NA,Stone Mountain,GA,30083,Convenience Store,3,Small retail,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-84.18414439,33.81152853,esri,NA
st_001022,DOLLAR GENERAL 6341,A115071,6117,Lula Rd,NA,Lula,GA,30554,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-83.69181,34.39579,usda,NA
