,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,store_name,addr_num,addr_st,addr_add,city,st,zip5,store_type,storeid,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,long,lat,address
0,0,268732,268732,"""a"" food store",11,W Burgess Rd,,Pensacola,FL,32503,Convenience Store,st_268270,0,0,0,1,1,1,1,1,1,1,-107.32493,39.54301,w burgess rd pensacola fl pensacola
252,0,268732,268732,"""a"" food store",11,W Burgess Rd,,Pensacola,FL,32503,Convenience Store,st_268271,0,0,0,1,1,1,1,1,1,1,-107.32493,39.54301,w burgess rd pensacola fl pensacola
1,1,139231,139231,"""u"" save food store",4039,NW 19th St,,Lauderhill,FL,33313,Combination Grocery/Other,st_139220,1,0,0,0,0,0,0,0,0,0,-84.53436573,42.74731757,nw 19th st lauderhill fl lauderhill
253,1,139231,139231,"""u"" save food store",4039,NW 19th St,,Lauderhill,FL,33313,Combination Grocery/Other,st_139221,1,0,0,0,0,0,0,0,0,0,-84.53436573,42.74731757,nw 19th st lauderhill fl lauderhill
2,2,166615,166615,"""z"" convenience store",19001,NE 23rd St,,Harrah,OK,73045,Convenience Store,st_166601,1,0,0,0,0,0,0,0,0,0,-121.16425,38.67304,ne 23rd st harrah ok harrah
254,2,166615,166615,"""z"" convenience store",19001,NE 23rd St,,Harrah,OK,73045,Convenience Store,st_166602,1,0,0,0,0,0,0,0,0,0,-121.16425,38.67304,ne 23rd st harrah ok harrah
3,3,44258,44258,# 1 baltimore grocery & deli corp,3248,E Baltimore St,,Baltimore,MD,21224,Small Grocery Store,st_044256,1,1,1,1,0,0,0,0,0,0,-85.78871914,35.70198366,e baltimore st baltimore md baltimore
255,3,44258,44258,# 1 baltimore grocery & deli corp,3248,E Baltimore St,,Baltimore,MD,21224,Small Grocery Store,st_044257,1,1,1,1,0,0,0,0,0,0,-85.78871914,35.70198366,e baltimore st baltimore md baltimore
4,4,6720,6720,# 1 food 4 mart,729,NW 185th Ave,,Beaverton,OR,97006,Convenience Store,st_006721,1,1,1,1,1,1,1,1,1,1,-70.81004987,42.06937082,nw 185th ave beaverton or beaverton
256,4,6720,6720,# 1 food 4 mart,729,NW 185th Ave,,Beaverton,OR,97006,Convenience Store,st_006723,1,1,1,1,1,1,1,1,1,1,-70.81004987,42.06937082,nw 185th ave beaverton or beaverton
257,5,176881,176881,# 1 food store,15632,Westpark Dr,,Houston,TX,77082,Convenience Store,st_176831,0,1,1,0,0,0,0,0,0,0,-76.24166,36.29948,westpark dr houston tx houston
6,6,64147,64147,# 1 food store,5356,Wedgmont Cir N,,Fort Worth,TX,76133,Convenience Store,st_064138,1,1,1,0,0,0,0,0,0,0,-117.6507667,34.06733873,wedgmont cir n fort worth tx fort worth
5,5,176881,176881,# 1 food store,15632,Westpark Dr,,Houston,TX,77082,Convenience Store,st_176831,0,1,1,0,0,0,0,0,0,0,-76.24166,36.29948,westpark dr houston tx houston
7,7,18921,18921,# 1 spirits liquor llc,2841,Cochrane St,,Detroit,MI,48216,Convenience Store,st_018921,1,1,1,1,1,1,0,0,0,0,-84.11585306,36.83256533,cochrane st detroit mi detroit
8,8,9569,9569,# 1 stop,430,Industrial Dr W,,Sulphur Springs,TX,75482,Convenience Store,st_009570,1,1,1,1,1,1,1,0,0,0,-86.0521036,43.4836454,industrial dr w sulphur springs tx sulphur springs
9,9,210145,210145,# 1 store,5243,Ford-Wellpinit Rd,,Ford,WA,99013,Convenience Store,st_209968,0,0,1,1,1,1,1,1,1,1,-108.8263,35.50645,ford-wellpinit rd ford wa ford
10,10,16405,16405,#1  privoz butcher shop inc,309,Brighton Beach Ave,,Brooklyn,NY,11235,Meat/Poultry Specialty,st_016405,1,0,0,0,0,0,0,0,0,0,-86.90341596,33.49428848,brighton beach ave brooklyn ny brooklyn
11,11,10849,10849,#1 american deli,41,Lincoln Ave,,New Rochelle,NY,10801,Small Grocery Store,st_010850,1,1,1,1,1,1,1,0,0,0,-74.04749655,40.72273845,lincoln ave new rochelle ny new rochelle
12,12,10977,10977,#1 citgo mart,11555,Cullen Blvd,,Houston,TX,77047,Convenience Store,st_010978,1,1,1,1,1,1,1,0,0,0,-82.45901208,28.08815447,cullen blvd houston tx houston
13,13,115717,115717,#1 discount grocery & po-boy,629,Derbigny St,,Gretna,LA,70053,Small Grocery Store,st_115707,1,1,1,1,1,1,1,1,1,0,-119.0210809,36.06528651,derbigny st gretna la gretna
14,14,199729,199729,#1 dollar store,5755,W Flagler St,Ste 106,Miami,FL,33144,Fruits/Veg Specialty,st_199595,0,0,1,1,1,1,0,0,0,0,-84.91619,32.46869,w flagler st miami fl miami
15,15,197651,197651,#1 express deli inc,759,Clinton Ave N,,Rochester,NY,14605,Small Grocery Store,st_197524,0,1,1,1,1,1,1,1,1,1,-77.50482,42.78957,clinton ave n rochester ny rochester
16,16,68380,68380,#1 express food mart,7419,Irvington Blvd,,Houston,TX,77022,Convenience Store,st_068371,1,1,1,1,1,1,1,0,0,0,-94.64935068,39.09900508,irvington blvd houston tx houston
17,17,71270,71270,#1 fish market,2239,State St,,Hamden,CT,6517,Seafood Specialty,st_071261,1,1,1,1,1,1,1,1,1,1,-92.10205032,30.44962021,state st hamden ct hamden
18,18,9114,9114,#1 food mart,11903,Beechnut St,,Houston,TX,77072,Convenience Store,st_009115,1,1,1,1,1,1,0,0,0,0,-82.67080243,39.49678443,beechnut st houston tx houston
20,20,154665,154665,#1 grocery & deli,485,S Broadway,,Yonkers,NY,10705,Small Grocery Store,st_154652,1,1,0,0,0,0,0,0,0,0,-95.96938864,28.96220712,s broadway yonkers ny yonkers
19,19,174312,174312,#1 grocery & deli,483,S Broadway,,Yonkers,NY,10705,Convenience Store,st_174275,0,1,1,1,1,1,1,1,1,1,-93.98988,31.11284,s broadway yonkers ny yonkers
