gisjn_ua,name_ua,fips_ua,STATE,Region,Division,year,99cent,dg,grocer,super,walmart,dg_add,grocer_drop,super_drop
G02825,"Arbuckle, CA",02825,California,West Region,Pacific Division,Y2008,1,0,1,0,0,NA,NA,NA
G02912,"Arcadia--Southeast Arcadia, FL",02912,Florida,South Region,South Atlantic Division,Y2008,1,1,3,4,1,NA,NA,NA
G05302,"Barstow, CA",05302,California,West Region,Pacific Division,Y2008,1,0,3,5,1,NA,NA,NA
G20206,"Corning, CA",20206,California,West Region,Pacific Division,Y2008,1,0,2,2,0,NA,NA,NA
G23716,"Desert Hot Springs, CA",23716,California,West Region,Pacific Division,Y2008,1,0,2,6,0,NA,NA,NA
G25579,"Earlimart, CA",25579,California,West Region,Pacific Division,Y2008,1,0,4,2,0,NA,NA,NA
G41077,"Immokalee, FL",41077,Florida,South Region,South Atlantic Division,Y2008,1,0,9,2,0,NA,NA,NA
G44587,"Kerman, CA",44587,California,West Region,Pacific Division,Y2008,1,0,0,1,0,NA,NA,NA
G50041,"Lindsay, CA",50041,California,West Region,Pacific Division,Y2008,1,0,4,2,0,NA,NA,NA
G58020,"Mojave, CA",58020,California,West Region,Pacific Division,Y2008,1,0,0,1,0,NA,NA,NA
G65917,"Orosi, CA",65917,California,West Region,Pacific Division,Y2008,2,0,7,1,0,NA,NA,NA
G70815,"Poplar-Cotton Center, CA",70815,California,West Region,Pacific Division,Y2008,1,0,1,0,0,NA,NA,NA
G86329,"Taft, CA",86329,California,West Region,Pacific Division,Y2008,1,0,3,2,0,NA,NA,NA
G87112,"Terra Bella, CA",87112,California,West Region,Pacific Division,Y2008,1,0,3,0,0,NA,NA,NA
G89191,"Twentynine Palms, CA",89191,California,West Region,Pacific Division,Y2008,1,0,1,1,0,NA,NA,NA
G95725,"Willows, CA",95725,California,West Region,Pacific Division,Y2008,1,0,2,2,0,NA,NA,NA
G96967,"Woodlake, CA",96967,California,West Region,Pacific Division,Y2008,1,0,2,1,0,NA,NA,NA
G00037,"Abbeville, LA",00037,Louisiana,South Region,West South Central Division,Y2008,0,4,4,5,1,NA,NA,NA
G00064,"Abbeville, SC",00064,South Carolina,South Region,South Atlantic Division,Y2008,0,2,1,2,0,NA,NA,NA
G00091,"Abbotsford, WI",00091,Wisconsin,Midwest Region,East North Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G00226,"Abernathy, TX",00226,Texas,South Region,West South Central Division,Y2008,0,1,1,0,0,NA,NA,NA
G00253,"Abilene, KS",00253,Kansas,Midwest Region,West North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G00334,"Abingdon, IL",00334,Illinois,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G00415,"Ada, OK",00415,Oklahoma,South Region,West South Central Division,Y2008,0,2,3,3,1,NA,NA,NA
G00450,"Adams, NY",00450,New York,Northeast Region,Middle Atlantic Division,Y2008,0,1,0,0,0,NA,NA,NA
G00469,"Adel, GA",00469,Georgia,South Region,South Atlantic Division,Y2008,0,2,1,2,0,NA,NA,NA
G00577,"Adrian, MI",00577,Michigan,Midwest Region,East North Central Division,Y2008,0,1,4,6,0,NA,NA,NA
G00658,"Ahoskie, NC",00658,North Carolina,South Region,South Atlantic Division,Y2008,0,2,1,3,0,NA,NA,NA
G00712,"Ajo, AZ",00712,Arizona,West Region,Mountain Division,Y2008,0,1,0,1,0,NA,NA,NA
G00793,"Alachua, FL",00793,Florida,South Region,South Atlantic Division,Y2008,0,1,0,0,0,NA,NA,NA
G00820,"Alamogordo, NM",00820,New Mexico,West Region,Mountain Division,Y2008,0,2,1,3,1,NA,NA,NA
G00982,"Albemarle, NC",00982,North Carolina,South Region,South Atlantic Division,Y2008,0,2,3,6,1,NA,NA,NA
G01036,"Albertville, AL",01036,Alabama,South Region,East South Central Division,Y2008,0,7,3,13,2,NA,NA,NA
G01063,"Albia, IA",01063,Iowa,Midwest Region,West North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G01090,"Albion, MI",01090,Michigan,Midwest Region,East North Central Division,Y2008,0,2,0,1,0,NA,NA,NA
G01117,"Albion, NY",01117,New York,Northeast Region,Middle Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G01144,"Albion, PA",01144,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2008,0,1,2,0,0,NA,NA,NA
G01252,"Alexander City, AL",01252,Alabama,South Region,East South Central Division,Y2008,0,3,1,2,1,NA,NA,NA
G01387,"Algona, IA",01387,Iowa,Midwest Region,West North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G01414,"Alice, TX",01414,Texas,South Region,West South Central Division,Y2008,0,2,2,2,1,NA,NA,NA
G01441,"Allegan, MI",01441,Michigan,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G01468,"Allendale, SC",01468,South Carolina,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G01522,"Alliance, NE",01522,Nebraska,Midwest Region,West North Central Division,Y2008,0,1,0,4,0,NA,NA,NA
G01549,"Alliance, OH",01549,Ohio,Midwest Region,East North Central Division,Y2008,0,3,1,7,1,NA,NA,NA
G01603,"Alma, GA",01603,Georgia,South Region,South Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G01630,"Alma--St. Louis, MI",01630,Michigan,Midwest Region,East North Central Division,Y2008,0,1,0,4,0,NA,NA,NA
G01684,"Alpena, MI",01684,Michigan,Midwest Region,East North Central Division,Y2008,0,1,1,4,0,NA,NA,NA
G01711,"Alpine, TX",01711,Texas,South Region,West South Central Division,Y2008,0,1,0,3,0,NA,NA,NA
G01738,"Altavista, VA",01738,Virginia,South Region,South Atlantic Division,Y2008,0,1,1,1,0,NA,NA,NA
G01846,"Altus, OK",01846,Oklahoma,South Region,West South Central Division,Y2008,0,2,0,5,1,NA,NA,NA
G01900,"Alvarado, TX",01900,Texas,South Region,West South Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G02008,"Americus, GA",02008,Georgia,South Region,South Atlantic Division,Y2008,0,2,3,5,1,NA,NA,NA
G02116,"Amite City, LA",02116,Louisiana,South Region,West South Central Division,Y2008,0,2,3,4,1,NA,NA,NA
G02143,"Amory, MS",02143,Mississippi,South Region,East South Central Division,Y2008,0,2,1,4,1,NA,NA,NA
G02170,"Amsterdam, NY",02170,New York,Northeast Region,Middle Atlantic Division,Y2008,0,1,2,5,1,NA,NA,NA
G02251,"Anadarko, OK",02251,Oklahoma,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G02278,"Anamosa, IA",02278,Iowa,Midwest Region,West North Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G02359,"Andalusia, AL",02359,Alabama,South Region,East South Central Division,Y2008,0,2,0,3,0,NA,NA,NA
G02440,"Andrews, SC",02440,South Carolina,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G02467,"Andrews, TX",02467,Texas,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G02548,"Angola, IN",02548,Indiana,Midwest Region,East North Central Division,Y2008,0,1,0,4,1,NA,NA,NA
G02575,"Anna, IL",02575,Illinois,Midwest Region,East North Central Division,Y2008,0,2,0,2,1,NA,NA,NA
G02581,"Anna, TX",02581,Texas,South Region,West South Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G02710,"Apalachicola, FL",02710,Florida,South Region,South Atlantic Division,Y2008,0,1,1,2,0,NA,NA,NA
G02791,"Arab, AL",02791,Alabama,South Region,East South Central Division,Y2008,0,1,0,3,1,NA,NA,NA
G02899,"Arcadia, LA",02899,Louisiana,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G02953,"Archbold, OH",02953,Ohio,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G02980,"Arcola, IL",02980,Illinois,Midwest Region,East North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G03007,"Ardmore, OK",03007,Oklahoma,South Region,West South Central Division,Y2008,0,3,3,3,1,NA,NA,NA
G03115,"Arkadelphia, AR",03115,Arkansas,South Region,West South Central Division,Y2008,0,2,1,1,0,NA,NA,NA
G03142,"Arkansas City, KS",03142,Kansas,Midwest Region,West North Central Division,Y2008,0,1,0,3,1,NA,NA,NA
G03158,"Arlington, TN",03158,Tennessee,South Region,East South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G03223,"Artesia, NM",03223,New Mexico,West Region,Mountain Division,Y2008,0,1,0,2,0,NA,NA,NA
G03277,"Ashburn, GA",03277,Georgia,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G03304,"Ashdown, AR",03304,Arkansas,South Region,West South Central Division,Y2008,0,1,2,2,1,NA,NA,NA
G03331,"Asheboro, NC",03331,North Carolina,South Region,South Atlantic Division,Y2008,0,4,13,10,2,NA,NA,NA
G03365,"Ashland, MO",03365,Missouri,Midwest Region,West North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G03385,"Ashland, OH",03385,Ohio,Midwest Region,East North Central Division,Y2008,0,2,1,4,0,NA,NA,NA
