record_id,store_name,store_type,store_group,street_num,street_name,address_add,city,state,zip,zip4,auth_date,auth_year,end_date,end_year,x,y,county,cty_fips,tract_fips,gisjn_tct,st_fips,place_fips,place_name,gisjn_plc,msa_fips,msa_name,msaclass_name,msa_class,gisjn_msa,puma_fips,gisjn_puma,row_id
258174,Walmart 2071,Super Store,Supermarket,8900,Old Seward Hwy,NA,Anchorage,AK,99515,2022,3/5/2002,2002,NA,NA,-149.8642,61.13982,ANCHORAGE,2020,2020002712,G0200200002712,2,203000,Anchorage municipality,G02003000,11260,"Anchorage, AK","Anchorage, AK Metro Area",M1,G11260,200102,G02000102,NA
368688,Walmart 2188,Super Store,Supermarket,18600,Eagle River Rd,NA,Eagle River,AK,99577,8688,3/19/2002,2002,NA,NA,-149.5352,61.3106,ANCHORAGE,2020,2020000205,G0200200000205,2,203000,Anchorage municipality,G02003000,11260,"Anchorage, AK","Anchorage, AK Metro Area",M1,G11260,200101,G02000101,NA
485091,Walmart SuperCenter 2070,Super Store,Supermarket,3101,A St,NA,Anchorage,AK,99503,4008,3/7/2002,2002,NA,NA,-149.8831,61.19256,ANCHORAGE,2020,2020001900,G0200200001900,2,203000,Anchorage municipality,G02003000,11260,"Anchorage, AK","Anchorage, AK Metro Area",M1,G11260,200102,G02000102,NA
1113128,Walmart SuperCenter 4359,Super Store,Supermarket,7405,Debarr Rd,NA,Anchorage,AK,99504,1980,8/2/2013,2013,NA,NA,-149.7433,61.20975,ANCHORAGE,2020,2020000702,G0200200000702,2,203000,Anchorage municipality,G02003000,11260,"Anchorage, AK","Anchorage, AK Metro Area",M1,G11260,200101,G02000101,NA
474799,Walmart 2722,Super Store,Supermarket,537,Johansen Expy,NA,Fairbanks,AK,99701,3165,4/13/2004,2004,NA,NA,-147.691,64.85832,FAIRBANKS NO STAR,2090,2090001300,G0200900001300,2,224230,Fairbanks city,G02024230,21820,"Fairbanks, AK","Fairbanks, AK Metro Area",M1,G21820,200300,G02000300,NA
827981,Walmart SuperCenter 3814,Super Store,Supermarket,6525,Glacier Hwy,NA,Juneau,AK,99801,7905,7/24/2007,2007,2/7/2016,2016,-134.5146,58.3592,JUNEAU,2110,2110000400,G0201100000400,2,236400,Juneau city and borough,G02036400,27940,"Juneau, AK","Juneau, AK Micro Area",M2,G27940,200300,G02000300,NA
941465,Walmart SuperCenter 4474,Super Store,Supermarket,10096,Kenai Spur Hwy,NA,Kenai,AK,99611,7807,3/3/2010,2010,NA,NA,-151.2187,60.56198,KENAI PENINSULA,2122,2122000600,G0201220000600,2,238420,Kenai city,G02038420,NA,NA,NA,NA,NA,200200,G02000200,NA
456646,Walmart 2710,Super Store,Supermarket,4230,Don King Rd,NA,Ketchikan,AK,99901,9047,3/7/2002,2002,NA,NA,-131.7216,55.37679,KETCHIKAN GATEWAY,2130,2130000200,G0201300000200,2,238970,Ketchikan city,G02038970,28540,"Ketchikan, AK","Ketchikan, AK Micro Area",M2,G28540,200300,G02000300,NA
706573,Walmart 2711,Super Store,Supermarket,2911,Mill Bay Rd,NA,Kodiak,AK,99615,7809,3/18/2002,2002,NA,NA,-152.3632,57.81092,KODIAK ISLAND,2150,2150000200,G0201500000200,2,249200,Mill Bay CDP,G02049200,NA,NA,NA,NA,NA,200400,G02000400,NA
230282,Walmart 2074,Super Store,Supermarket,1350,S Seward Meridian Pkwy,NA,Wasilla,AK,99654,8332,7/20/2000,2000,NA,NA,-149.3601,61.56956,MATANUSKA SUSITNA,2170,2170000900,G0201700000900,2,283080,Wasilla city,G02083080,11260,"Anchorage, AK","Anchorage, AK Metro Area",M1,G11260,200200,G02000200,NA
