county,st_fips,cty_fips,stcty_fips,state,fullname
Autauga County,01,001,01001,AL,"Autauga County, AL"
Baldwin County,01,003,01003,AL,"Baldwin County, AL"
Barbour County,01,005,01005,AL,"Barbour County, AL"
Bibb County,01,007,01007,AL,"Bibb County, AL"
Blount County,01,009,01009,AL,"Blount County, AL"
Bullock County,01,011,01011,AL,"Bullock County, AL"
Butler County,01,013,01013,AL,"Butler County, AL"
Calhoun County,01,015,01015,AL,"Calhoun County, AL"
Chambers County,01,017,01017,AL,"Chambers County, AL"
Cherokee County,01,019,01019,AL,"Cherokee County, AL"
Chilton County,01,021,01021,AL,"Chilton County, AL"
Choctaw County,01,023,01023,AL,"Choctaw County, AL"
Clarke County,01,025,01025,AL,"Clarke County, AL"
Clay County,01,027,01027,AL,"Clay County, AL"
Cleburne County,01,029,01029,AL,"Cleburne County, AL"
Coffee County,01,031,01031,AL,"Coffee County, AL"
Colbert County,01,033,01033,AL,"Colbert County, AL"
Conecuh County,01,035,01035,AL,"Conecuh County, AL"
Coosa County,01,037,01037,AL,"Coosa County, AL"
Covington County,01,039,01039,AL,"Covington County, AL"
Crenshaw County,01,041,01041,AL,"Crenshaw County, AL"
Cullman County,01,043,01043,AL,"Cullman County, AL"
Dale County,01,045,01045,AL,"Dale County, AL"
Dallas County,01,047,01047,AL,"Dallas County, AL"
DeKalb County,01,049,01049,AL,"DeKalb County, AL"
Elmore County,01,051,01051,AL,"Elmore County, AL"
Escambia County,01,053,01053,AL,"Escambia County, AL"
Etowah County,01,055,01055,AL,"Etowah County, AL"
Fayette County,01,057,01057,AL,"Fayette County, AL"
Franklin County,01,059,01059,AL,"Franklin County, AL"
Geneva County,01,061,01061,AL,"Geneva County, AL"
Greene County,01,063,01063,AL,"Greene County, AL"
Hale County,01,065,01065,AL,"Hale County, AL"
Henry County,01,067,01067,AL,"Henry County, AL"
Houston County,01,069,01069,AL,"Houston County, AL"
Jackson County,01,071,01071,AL,"Jackson County, AL"
Jefferson County,01,073,01073,AL,"Jefferson County, AL"
Lamar County,01,075,01075,AL,"Lamar County, AL"
Lauderdale County,01,077,01077,AL,"Lauderdale County, AL"
Lawrence County,01,079,01079,AL,"Lawrence County, AL"
Lee County,01,081,01081,AL,"Lee County, AL"
